name,mass,unimod,residue
Acetyl,42.010565,1,
Amidated,-0.984016,2,
Biotin,226.077598,3,
Carbamidomethyl,57.021464,4,
Carbamyl,43.005814,5,
Carboxymethyl,58.005479,6,
Deamidated,0.984016,7,
ICAT-G,486.251206,8,
ICAT-G:2H(8),494.301420,9,
Met->Hse,-29.992806,10,
Met->Hsl,-48.003371,11,
ICAT-D:2H(8),450.275205,12,
ICAT-D,442.224991,13,
NIPCAM,99.068414,17,
PEO-Iodoacetyl-LC-Biotin,414.193691,20,
Phospho,79.966331,21,
Dehydrated,-18.010565,23,
Propionamide,71.037114,24,
Pyridylacetyl,119.037114,25,
Pyro-carbamidomethyl,39.994915,26,
Glu->pyro-Glu,-18.010565,27,
Gln->pyro-Glu,-17.026549,28,
SMA,127.063329,29,
Cation:Na,21.981943,30,
Pyridylethyl,105.057849,31,
Methyl,14.015650,34,
Oxidation,15.994915,35,
Dimethyl,28.031300,36,
Trimethyl,42.046950,37,
Methylthio,45.987721,39,
Sulfo,79.956815,40,
Hex,162.052824,41,
Lipoyl,188.032956,42,
HexNAc,203.079373,43,
Farnesyl,204.187801,44,
Myristoyl,210.198366,45,
PyridoxalPhosphate,229.014009,46,
Palmitoyl,238.229666,47,
GeranylGeranyl,272.250401,48,
Phosphopantetheine,340.085794,49,
FAD,783.141486,50,
Tripalmitate,788.725777,51,
Guanidinyl,42.021798,52,
HNE,156.115030,53,
Glucuronyl,176.032088,54,
Glutathione,305.068156,55,
Acetyl:2H(3),45.029395,56,
Propionyl,56.026215,58,
Propionyl:13C(3),59.036279,59,
GIST-Quat,127.099714,60,
GIST-Quat:2H(3),130.118544,61,
GIST-Quat:2H(6),133.137375,62,
GIST-Quat:2H(9),136.156205,63,
Succinyl,100.016044,64,
Succinyl:2H(4),104.041151,65,
Succinyl:13C(4),104.029463,66,
Iminobiotin,225.093583,89,
ESP,338.177647,90,
ESP:2H(10),348.240414,91,
NHS-LC-Biotin,339.161662,92,
EDT-maleimide-PEO-biotin,601.206246,93,
IMID,68.037448,94,
IMID:2H(4),72.062555,95,
Propionamide:2H(3),74.055944,97,
ICAT-C,227.126991,105,
ICAT-C:13C(9),236.157185,106,
FormylMet,159.035399,107,
Nethylmaleimide,125.047679,108,
OxLysBiotinRed,354.172562,112,
OxLysBiotin,352.156911,113,
OxProBiotinRed,371.199111,114,
OxProBiotin,369.183461,115,
OxArgBiotin,310.135113,116,
OxArgBiotinRed,312.150763,117,
EDT-iodoacetyl-PEO-biotin,490.174218,118,
IBTP,316.138088,119,
GG,114.042927,121,
Formyl,27.994915,122,
ICAT-H,345.097915,123,
ICAT-H:13C(6),351.118044,124,
Xlink:DTSSP[88],87.998285,126,
Fluoro,17.990578,127,
Fluorescein,387.074287,128,
Iodo,125.896648,129,
Diiodo,251.793296,130,
Triiodo,377.689944,131,
Myristoleyl,208.182715,134,
Myristoyl+Delta:H(-4),206.167065,135,
Benzoyl,104.026215,136,
Hex(5)HexNAc(2),1216.422863,137,
Dansyl,233.051049,139,
a-type-ion,-46.005479,140,
Amidine,41.026549,141,
HexNAc(1)dHex(1),349.137281,142,
HexNAc(2),406.158745,143,
Hex(3),486.158471,144,
HexNAc(1)dHex(2),495.195190,145,
Hex(1)HexNAc(1)dHex(1),511.190105,146,
HexNAc(2)dHex(1),552.216654,147,
Hex(1)HexNAc(2),568.211569,148,
Hex(1)HexNAc(1)NeuAc(1),656.227613,149,
HexNAc(2)dHex(2),698.274563,150,
Hex(1)HexNAc(2)Pent(1),700.253828,151,
Hex(1)HexNAc(2)dHex(1),714.269478,152,
Hex(2)HexNAc(2),730.264392,153,
Hex(3)HexNAc(1)Pent(1),821.280102,154,
Hex(1)HexNAc(2)dHex(1)Pent(1),846.311736,155,
Hex(1)HexNAc(2)dHex(2),860.327386,156,
Hex(2)HexNAc(2)Pent(1),862.306651,157,
Hex(2)HexNAc(2)dHex(1),876.322301,158,
Hex(3)HexNAc(2),892.317216,159,
Hex(1)HexNAc(1)NeuAc(2),947.323029,160,
Hex(3)HexNAc(2)Phos(1),972.283547,161,
Delta:S(-1)Se(1),47.944449,162,
Delta:H(-1)N(-1)18O(1),2.988261,170,
NBS:13C(6),159.008578,171,
NBS,152.988449,172,
BHT,218.167065,176,
DAET,87.050655,178,
Label:13C(9),9.030193,184,
Label:13C(9)+Phospho,88.996524,185,
HPG,132.021129,186,
2HPG,282.052824,187,
