name,mass,unimod,residue
Acetyl,42.010565,1,
Amidated,-0.984016,2,
Biotin,226.077598,3,
Carbamidomethyl,57.021464,4,
Carbamyl,43.005814,5,
Carboxymethyl,58.005479,6,
Deamidated,0.984016,7,
Met->Hse,-29.992806,10,
Met->Hsl,-48.003371,11,
NIPCAM,99.068414,17,
PEO-Iodoacetyl-LC-Biotin,414.193691,20,
Phospho,79.966331,21,
Dehydrated,-18.010565,23,
Propionamide,71.037114,24,
Pyridylacetyl,119.037114,25,
Pyro-carbamidomethyl,39.994915,26,
Glu->pyro-Glu,-18.010565,27,
Gln->pyro-Glu,-17.026549,28,
SMA,127.063329,29,
Pyridylethyl,105.057849,31,
Methyl,14.015650,34,
Oxidation,15.994915,35,
Dimethyl,28.031300,36,
Trimethyl,42.046950,37,
Methylthio,45.987721,39,
Sulfo,79.956815,40,
Lipoyl,188.032956,42,
Farnesyl,204.187801,44,
Myristoyl,210.198366,45,
PyridoxalPhosphate,229.014009,46,
Palmitoyl,238.229666,47,
GeranylGeranyl,272.250401,48,
Phosphopantetheine,340.085794,49,
FAD,783.141486,50,
Tripalmitate,788.725777,51,
Guanidinyl,42.021798,52,
HNE,156.115030,53,
Glutathione,305.068156,55,
Propionyl,56.026215,58,
Succinyl,100.016044,64,
Iminobiotin,225.093583,89,
NHS-LC-Biotin,339.161662,92,
EDT-maleimide-PEO-biotin,601.206246,93,
FormylMet,159.035399,107,
Nethylmaleimide,125.047679,108,
EDT-iodoacetyl-PEO-biotin,490.174218,118,
IBTP,316.138088,119,
GG,114.042927,121,
Formyl,27.994915,122,
Fluoro,17.990578,127,
Fluorescein,387.074287,128,
Iodo,125.896648,129,
Diiodo,251.793296,130,
Triiodo,377.689944,131,
Myristoleyl,208.182715,134,
Dansyl,233.051049,139,
a-type-ion,-46.005479,140,
Amidine,41.026549,141,
NBS:13C(6),159.008578,171,
NBS,152.988449,172,
BHT,218.167065,176,
DAET,87.050655,178,
HPG,132.021129,186,
2HPG,282.052824,187,
AccQTag,170.048013,194,
QAT,171.149738,195,
EQAT,184.157563,197,
Ethanedithiol,75.980527,200,
Crotonaldehyde,70.041865,253,
Thiophospho,95.943487,260,
SPITC,214.971084,261,
PET,121.035005,264,
Cytopiloyne,362.136553,270,
Cytopiloyne+water,380.147118,271,
CAF,135.983029,272,
Nitrosyl,28.990164,275,
AEBS,183.035399,276,
Ethanolyl,44.026215,278,
Ethyl,28.031300,280,
CoenzymeA,765.099560,281,
SulfanilicAcid:13C(6),161.024228,286,
Trp->Oxolactone,13.979265,288,
Biotin-PEO-Amine,356.188212,289,
Biotin-HPDP,428.191582,290,
IodoU-AMP,322.020217,292,
CAMthiopropanoyl,145.019749,293,
IED-Biotin,326.141261,294,
Carboxy,43.989829,299,
Bromobimane,190.074228,301,
Menadione,170.036779,302,
DeStreak,75.998285,303,
Cysteinyl,119.004099,312,
Lys-loss,-128.094963,313,
Nmethylmaleimide,111.032028,314,
DimethylpyrroleAdduct,78.046950,316,
Nethylmaleimide+water,143.058243,320,
FP-Biotin,572.316129,325,
Thiophos-S-S-biotin,525.142894,332,
Can-FP-biotin,447.195679,333,
Methylamine,13.031634,337,
Bromo,77.910511,340,
Amino,15.010899,342,
Argbiotinhydrazide,199.066699,343,
Arg->GluSA,-43.053433,344,
Trioxidation,47.984744,345,
Trp->Hydroxykynurenin,19.989829,350,
Trp->Kynurenin,3.994915,351,
Lys->Allysine,-1.031634,352,
Lysbiotinhydrazide,241.088497,353,
Nitro,44.985078,354,
probiotinhydrazide,258.115047,357,
Pro->pyro-Glu,13.979265,359,
Pro->Pyrrolidinone,-30.010565,360,
Thrbiotinhydrazide,240.104482,361,
Diisopropylphosphate,164.060231,362,
Isopropylphospho,122.013281,363,
Cys->Dha,-33.987721,368,
Pro->Pyrrolidone,-27.994915,369,
HMVK,86.036779,371,
Arg->Orn,-42.021798,372,
Dehydro,-1.007825,374,
Diphthamide,142.110613,375,
Hydroxyfarnesyl,220.182715,376,
Diacylglycerol,576.511761,377,
Carboxyethyl,72.021129,378,
Hypusine,87.068414,379,
Retinylidene,266.203451,380,
Lys->AminoadipicAcid,14.963280,381,
Cys->PyruvicAcid,-33.003705,382,
Ammonia-loss,-17.026549,385,
Phycocyanobilin,586.279135,387,
Phycoerythrobilin,588.294785,388,
Phytochromobilin,584.263485,389,
Heme,616.177295,390,
Molybdopterin,521.884073,391,
